Lake,Block,CloneSubline,Rep,RFU,length_um,length_mm,order
Island,1,Control,1,7554.9,.,.,1
Island,1,3B,1,5954.23,1290.44,1.29044,2
Island,1,3B,2,6368.27,1258.19,1.25819,3
Island,1,3B,3,6458.64,1266.39,1.26639,4
Island,1,3B,4,6561.49,1253.18,1.25318,5
Island,1,3B,5,7305.2,1234.7,1.2347,6
Island,1,1-9A,1,6344.3,1105.01,1.10501,7
Island,1,1-9A,2,6455.3,1264.5,1.2645,8
Island,1,1-9A,3,5821.09,1150,1.15,9
Island,1,1-9A,4,5922.55,1298.6,1.2986,10
Island,1,1-9A,5,6591.87,1218.15,1.21815,11
Island,1,52A,1,5609.25,1392.47,1.39247,12
Island,1,52A,2,5791.41,1407.17,1.40717,13
Island,1,5A,1,6125.35,1224,1.224,14
Island,1,5A,2,6286.37,.,.,15
Island,1,Control,2,7234.15,.,.,16
Island,1,5A,3,6446.29,.,.,17
Island,1,5A,4,6712.28,.,.,18
Island,1,5A,5,6751.72,.,.,19
Island,1,4-13B,1,6985.2,1132.55,1.13255,20
Island,1,4-13B,2,7342.34,1073.31,1.07331,21
Island,1,4-13B,3,6924.18,1094.33,1.09433,22
Island,1,4-13B,4,7209.27,1113.01,1.11301,23
Island,1,54A,1,6454.29,1272.63,1.27263,24
Island,1,54A,2,6655.78,1249.38,1.24938,25
Island,1,54A,3,6651.83,1345.42,1.34542,26
Island,1,5B,1,6248.71,1077.11,1.07711,27
Island,1,5B,2,6457.65,1076.94,1.07694,28
Island,1,5B,3,6610.92,1137.05,1.13705,29
Island,1,5B,4,6087.47,1095.97,1.09597,30
Island,1,Control,3,7328.65,.,.,31
Island,1,5B,5,6823.01,1105.94,1.10594,32
Island,1,5-14A,1,5861.69,1389.13,1.38913,33
Island,1,5-14A,2,6407.95,1395.89,1.39589,34
Island,1,54B,1,6337.93,1178.67,1.17867,35
Island,1,54B,2,6459.12,1176.54,1.17654,36
Island,1,54B,3,6140.95,1147.73,1.14773,37
Island,1,54B,4,6774.14,1136.6,1.1366,38
Island,1,54B,5,6527.44,1067.92,1.06792,39
Island,1,7A,1,6130.71,1320.78,1.32078,40
Island,1,7A,2,6193.79,1167.86,1.16786,41
Island,1,7A,3,5784.93,1270.98,1.27098,42
Island,1,7A,4,5781.09,1339.44,1.33944,43
Island,1,7A,5,5800.98,1339.78,1.33978,44
Island,1,7-16A,1,6445.24,1039.09,1.03909,45
Island,1,Control,4,7016.45,.,.,46
Island,1,7-16A,2,7037.49,1057.36,1.05736,47
Island,1,7-16A,3,6469.14,1038.41,1.03841,48
Island,1,7-16A,4,6742.69,1064.66,1.06466,49
Island,1,7-16A,5,6468.88,1017.48,1.01748,50
Island,1,55A,1,6218.56,1290.19,1.29019,51
